대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,신구대장구분코드,신구대장구분코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),주용도코드,주용도코드명,기타용도,세대수(세대),가구수(가구),주건축물수,부속건축물수,부속건축물면적(㎡),총주차수,옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자
경기도 수원시 장안구 파장동 16번지,41111,12900,0,0016,0000,1000000000000005500521,1,일반,1,총괄표제부,1,신대장,경기도 수원시 장안구 경수대로1220번길 30-97 (파장동),파장정수장,,,,0,411114322017,12901,,30,97,0,0,0,0,0,0,03000,제1종근린생활시설,정수장,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20250410
경기도 수원시 장안구 파장동 23-5번지,41111,12900,0,0023,0005,1000000000000000739369,1,일반,1,총괄표제부,1,신대장,경기도 수원시 장안구 경수대로1220번길 46 (파장동),북부버스차고지,,,,1,411114322017,12901,0,46,,10178,549.45,5.4,2034.5,725.75,7.13,20000,자동차관련시설,자동차관련시설,0,0,2,2,147.65,148,0,0,0,0,49,1123.56,99,2323.2,,,,,,,,,0,,0,0,,0,,0,20221207
경기도 수원시 장안구 파장동 43-1번지,41111,12900,0,0043,0001,10841100477071,1,일반,1,총괄표제부,1,신대장,경기도 수원시 장안구 경수대로 1246 (파장동),수안 주유소,,,,0,411112012008,12901,0,1246,,3516,686.74,19.53,880.98,880.98,25.06,19000,위험물저장및처리시설,주유소,0,0,3,0,0,3,0,0,0,0,0,0,3,37.5,20210512,20210817,20211203,2021,3750028,건축과,1101,1101,0,,0,0,,0,,0,20220909
경기도 수원시 장안구 파장동 43-13번지,41111,12900,0,0043,0013,1084154,1,일반,1,총괄표제부,0,구대장,경기도 수원시 장안구 경수대로 1238 (파장동),수안LPG충전소,,,,0,411112012008,12901,0,1238,,1008,189.05,18.75,247.67,247.67,24.57,04000,제2종근린생활시설,"위험물저장 및 처리시설(액화석유가스충전소), 근린생활시설",0,0,3,0,0,1,0,0,0,0,0,0,1,11.5,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 장안구 파장동 85번지,41111,12900,0,0085,0000,10841381,1,일반,1,총괄표제부,1,신대장,경기도 수원시 장안구 경수대로1220번길 23 (파장동),(주)크라운제과,,,,1,411114322017,12901,0,23,,5839,2252.43,38.58,3939.53,3939.53,67.46,03000,제1종근린생활시설,"제1종근린생활시설,2종근린생활시설/창고시설",0,0,4,0,0,23,0,0,0,0,0,0,23,264.5,19990710,,20000125,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 장안구 파장동 90-1번지,41111,12900,0,0090,0001,10841100219039,1,일반,1,총괄표제부,1,신대장,경기도 수원시 장안구 경수대로1220번길 24 (파장동),,,,,0,411114322017,12901,0,24,,350,120.94,34.55,193.13,193.13,55.18,04000,제2종근린생활시설,제조업소,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20250416
경기도 수원시 장안구 파장동 102-3번지,41111,12900,0,0102,0003,10841100173945,1,일반,1,총괄표제부,1,신대장,경기도 수원시 장안구 경수대로1220번길 30-26 (파장동),,,,,0,411114322017,12901,0,30,26,1444,282.87,19.59,359.97,359.97,24.93,19000,위험물저장및처리시설,위험물저장및처리시설,0,0,2,0,0,4,0,0,0,0,0,0,4,46,19990814,20000526,20000824,,3750028,건축과,1102,1102,0,,0,0,,0,,0,20220909
경기도 수원시 장안구 파장동 126번지,41111,12900,0,0126,0000,10841387,1,일반,1,총괄표제부,1,신대장,경기도 수원시 장안구 경수대로 1196-12 (파장동),,,,,2,411112012008,12901,0,1196,12,2316,334.22,14.43,526.67,526.67,22.74,20000,자동차관련시설,자동차관련시설,0,0,2,0,0,5,0,0,0,0,0,0,5,57.5,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 장안구 파장동 127-1번지,41111,12900,0,0127,0001,10841413,1,일반,1,총괄표제부,1,신대장,경기도 수원시 장안구 경수대로 1184 (파장동),,,,,0,411112012008,12901,0,1184,,3160,292.15,9.25,292.15,292.15,9.25,19000,위험물저장및처리시설,위험물저장및처리시설,0,0,2,0,0,5,0,0,0,0,0,0,5,62.5,20031024,20040212,20050408,2003,3750028,건축과,1101,1101,0,,0,0,,0,,0,20220909
경기도 수원시 장안구 파장동 130번지,41111,12900,0,0130,0000,1084156,1,일반,1,총괄표제부,0,구대장,경기도 수원시 장안구 경수대로 1196 (파장동),,,,,0,411112012008,12901,0,1196,,415,70.52,16.99,101.68,101.68,24.5,19000,위험물저장및처리시설,위험물저장및 처리시설,0,0,3,2,31.16,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 장안구 파장동 181번지,41111,12900,0,0181,0000,10841407,1,일반,1,총괄표제부,1,신대장,경기도 수원시 장안구 경수대로 1150 (파장동),,,,,0,411112012008,12901,0,1150,,68972,2336.45,3.39,5211.53,3306.12,4.79,10000,교육연구시설,교육연구및복지시설,0,0,5,0,0,272,0,0,0,0,0,0,272,0,19820331,,19831110,1982,3750028,건축과,5100,5100,0,,0,0,,0,,0,20220909
경기도 수원시 장안구 파장동 184번지,41111,12900,0,0184,0000,10841100217900,1,일반,1,총괄표제부,1,신대장,경기도 수원시 장안구 경수대로 1150 (파장동),경기도인재개발원,,,,6,411112012008,12901,0,1150,,40836,7030.99,17.2,23124.1,21552.36,52.77,10000,교육연구시설,교육연구 및 복지시설,0,0,8,0,0,0,0,0,0,0,0,0,0,0,19760817,,19800723,,,,,,0,,0,0,,0,,0,20240903
경기도 수원시 장안구 파장동 190번지,41111,12900,0,0190,0000,10841100353780,1,일반,1,총괄표제부,1,신대장,,국세공무원교육원,,,,9,,,0,,,0,2131.13,0,6399.52,6091.05,0,10000,교육연구시설,교육연구및복지시설,0,0,2,0,0,0,0,0,0,0,0,0,0,0,19820616,,19830808,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 장안구 파장동 199번지,41111,12900,0,0199,0000,1084166,2,집합,1,총괄표제부,1,신대장,경기도 수원시 장안구 수일로 26 (파장동),궁전아파트,,,,2,411113174007,12901,0,26,,0,1378.14,0,7941.84,6629.1,0,02000,공동주택,공동주택(아파트),130,0,3,1,14,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 장안구 파장동 207번지,41111,12900,0,0207,0000,1084167,2,집합,1,총괄표제부,1,신대장,,이화빌라,,,,0,,,0,,,465,276.54,59.47,1130.51,998.18,214.66,02000,공동주택,다세대주택,16,0,2,0,0,7,0,0,0,0,4,116.88,3,34.5,,,,,,,,,0,,0,0,,0,,0,20220909
