대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,신구대장구분코드,신구대장구분코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),주용도코드,주용도코드명,기타용도,세대수(세대),가구수(가구),주건축물수,부속건축물수,부속건축물면적(㎡),총주차수,옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자
경기도 수원시 권선구 세류동 47-3번지,41113,12600,0,0047,0003,1084180850,1,일반,1,총괄표제부,0,구대장,,,,,,0,,,0,,,244,121.86,49.94,206.28,206.28,84.54,01000,단독주택,단독주택,7,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 권선구 세류동 71-1번지,41113,12600,0,0071,0001,1084180921,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,,,0,73.02,0,73.02,73.02,0,01000,단독주택,단독주택,0,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 권선구 세류동 85번지,41113,12600,0,0085,0000,1084180925,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,,,0,25.05,0,25.05,25.05,0,01000,단독주택,단독주택,0,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 권선구 세류동 85-264번지,41113,12600,0,0085,0264,1084180926,1,일반,1,총괄표제부,1,신대장,,수원 제이교회,,,,24,,,0,,,3488,1059.24,30.37,2100.48,2100.48,60.22,06000,종교시설,종교집회장(교회),0,0,4,0,0,24,0,0,0,0,0,0,24,276.11,,,,,,,,,0,,0,0,,0,,0,20250509
경기도 수원시 권선구 세류동 97-21번지,41113,12600,0,0097,0021,1084180932,1,일반,1,총괄표제부,1,신대장,경기도 수원시 권선구 효원로94번길 21-10 (세류동),,,,,0,411134325495,12601,0,21,10,0,182.58,0,410.54,359.62,0,01000,단독주택,단독주택,0,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 권선구 세류동 125-3번지,41113,12600,0,0125,0003,1084181153,2,집합,1,총괄표제부,1,신대장,경기도 수원시 권선구 정조로613번길 11 (세류동),,,,,0,411134325445,12601,0,11,,0,515.17,0,1148.88,2060.68,0,02000,공동주택,공동주택,20,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 권선구 세류동 129-2번지,41113,12600,0,0129,0002,1084180935,1,일반,1,총괄표제부,1,신대장,경기도 수원시 권선구 정조로 613-8 (세류동),,,,,0,411133012006,12601,0,613,8,0,106.34,0,106.34,106.34,0,17000,공장,단독주택,0,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 권선구 세류동 137번지,41113,12600,0,0137,0000,1084180937,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,,,0,99.67,0,99.67,99.67,0,01000,단독주택,단독주택,0,4,4,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 권선구 세류동 138번지,41113,12600,0,0138,0000,1084180938,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,,,0,66.68,0,66.68,66.68,0,01000,단독주택,단독주택,0,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 권선구 세류동 141번지,41113,12600,0,0141,0000,1084181154,2,집합,1,총괄표제부,1,신대장,경기도 수원시 권선구 정조로 618 (세류동),,,,,0,411133012006,12601,0,618,,0,15763,0,38581.67,43617.15,0,02000,공동주택,공동주택,366,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220909
