시도교육청코드,시도교육청명,행정구역명,학원교습소명,학원지정번호,학원명,개설일자,등록일자,등록상태명,휴원시작일자,휴원종료일자,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정목록명,교습과정명,인당수강료,수강료공개여부,기숙사학원여부,도로명주소,도로명상세주소,도로명우편번호,전화번호,수정일자
J10,경기도교육청,수원시,교습소,3000028237, 윤슬피아노음악교습소,20160308,20160308,개원,        ,99991231,0,0,예능(대),예능(중),성인반,음악,"성인반:180000, 초급피아노1:160000, 초급피아노2:170000, 중급피아노1:180000, 중급피아노2:190000, 고급피아노:200000",Y,N,경기도 수원시 영통구 삼성로 11,", 102호 (신동)",16682,,20260405
J10,경기도교육청,수원시,교습소,3000052728,1등급수능영어교습소,20221020,20221020,개원,        ,99991231,5,5,입시.검정 및 보습,보통교과,,보습, ,Y,N,경기도 수원시 영통구 영통로 136,", 402-1호 (망포동, 센트럴타워)",16691,,20231018
J10,경기도교육청,수원시,교습소,3000072589,3030호매실한양수자인센터영어교습소,20241202,20241202,개원,        ,        ,0,9,입시.검정 및 보습,,,, ,Y, ,경기도 수원시 권선구 칠보로 102,", 105호(호매실동, 한양수자인파크원 상가2동)",16401,,20250907
J10,경기도교육청,수원시,교습소,3000062106,가람클래스음악원(1관)음악교습소,20230921,20230921,개원,        ,        ,0,8,예능(대),예능(중),초급,음악,"초급:170000, 중급:180000",N, ,경기도 수원시 팔달구 정자천로32번길 20,"203호(화서동,한독.LG아파트 상가동)",16422,,20250629
J10,경기도교육청,수원시,교습소,3000062107,가람클래스음악원(2관)음악교습소,20230921,20230921,개원,        ,        ,0,9,예능(대),예능(중),고등음악,음악,고등음악:680000,N,N,경기도 수원시 팔달구 정자천로32번길 20,"202호(화서동,한독.LG아파트 상가동)",16422,,20250629
J10,경기도교육청,수원시,교습소,3000074127,가온수학교습소,20250425,20250425,개원,        ,        ,0,9,입시.검정 및 보습,,,, ,Y, ,경기도 수원시 권선구 경수대로235번길 37,", 2층 전체(세류동)",16658,,20250427
J10,경기도교육청,수원시,교습소,70650,가온피아노음악교습소,20020311,20020311,개원,        ,99991231,32,4,예능(대),예능(중),음악일반(피아노1),음악, ,Y,N,경기도 수원시 팔달구 창룡대로 194,  주공아파트 상가동 203호 (우만동),442818,031-256-9590,20231018
J10,경기도교육청,수원시,교습소,3000071887,가죽공방여우비공예교습소,20240910,20240910,개원,        ,        ,0,0,기타(대),,,, ,Y, ,경기도 수원시 팔달구 권광로367번길 11,"101호(우만동,수원광교 양우 내안애 애플 아파트)",16494,,20240929
J10,경기도교육청,수원시,교습소,3000011418,가지미술교습소,20110321,20110321,개원,        ,99991231,117,9,예능(대),예능(중),미술A,미술,"미술A:80000, 미술B:100000, 미술C:120000, 미술D:160000",Y,N,경기도 수원시 팔달구 수성로244번길 25, 화서위브하늘채 203동 207호 (화서동),442150,031-257-4257,20260308
J10,경기도교육청,수원시,교습소,3000041555,감성아이새움성향미술교습소,20190821,20190821,개원,        ,99991231,207,9,예능(대),예능(중),미술일반,미술,"미술일반:60000, 미술일반:120000, 미술원데이:15000, 초등미술(1):54000, 초등미술(2):109000, 도자기미술(1):20500, 초등미술1:54000, 초등미술2:109000, 도자기미술:20500, 초등미술(1):57000, 초등미술(2):114000, 중등미술(1):114000, 도예:20500, 초등미술1:60000, 초등미술2:120000, 중등미술1:60000, 중등미술2:120000, 도자기미술1:15000, 초등미술1:69000, 초등미술2:139000, 중등미술1:69000, 중등미술2:139000, 도자기미술:16000",Y,N,경기도 수원시 권선구 곡선로 20,", 102호 (권선동, 수원아이파크시티6단지)",16666,,20231018
