아파트명,소재지도로명주소,소재지지번주소,위도,경도,층수,관리사무소전화번호,팩스번호,세대수,사업승인일,사용검사일,데이터기준일자
파장삼익,"경기도 수원시 장안구 경수대로 1102 (파장동, 삼익아파트)",경기도 수원시 장안구 파장동 528-8,37.3108,126.9928,11,031-255-8552,031-268-8553,220,1972-03-02,1978-10-30,2025-08-15
문화맨션,"경기도 수원시 팔달구 정조로 659 (매교동, 문화맨션)",경기도 수원시 팔달구 매교동 158-6,37.2677,127.0161,12,031-232-3783,031-232-3783,175,1978-05-23,1979-05-30,2025-08-15
신반포,"경기도 수원시 팔달구 장다리로306번길 13 (인계동, 신반포아파트)",경기도 수원시 팔달구 인계동 319-6,37.2739,127.0312,12,031-232-7138,031-236-2138,1185,1980-08-27,1983-12-22,2025-08-15
우만현대,"경기도 수원시 팔달구 권광로364번길 7-2 (우만동, 현대아파트)",경기도 수원시 팔달구 우만동 129-9,37.2803,127.038,5,031-211-6383,031-212-5220,404,1984-06-18,1985-06-28,2025-08-15
동신1차,"경기도 수원시 장안구 장안로 232 (정자동, 동신아파트) ",경기도 수원시 장안구 정자동 839-27,37.3044,126.9935,15,031-244-2447,031-244-2417,1548,1986-04-04,1987-05-30,2025-08-15
원천주공,"경기도 수원시 영통구 중부대로271번길 27-9 (원천동, 주공아파트)",경기도 수원시 영통구 원천동 64-9,37.2763,127.0468,15,031-211-6535,031-211-6292,1320,1987-07-14,1987-08-14,2025-08-15
동남,"경기도 수원시 권선구 여기산로 54 (서둔동, 동남아파트)",경기도 수원시 권선구 서둔동 361,37.283,126.9803,5,031-291-5671,031-891-5671,380,1987-12-03,1987-12-03,2025-08-15
성일,"경기도 수원시 권선구 여기산로 42 (서둔동, 성일아파트)",경기도 수원시 권선구 서둔동 361-1,37.2806,126.9788,5,031-292-5670,031-305-5670,370,1987-03-27,1987-12-03,2025-08-15
동신2차,"경기도 수원시 장안구 장안로 211 (정자동, 동신아파트)",경기도 수원시 장안구 정자동 395-3,37.3015,126.9941,12~15,031-252-1406,031-302-3867,1992,1986-04-04,1988-05-10,2025-08-15
우만주공1단지,"경기도 수원시 팔달구 중부대로223번길 102 (우만동, 주공1단지아파트)",경기도 수원시 팔달구 우만동 33,37.2823,127.0389,5,031-212-7120,031-211-6120,500,1987-05-30,1988-05-30,2025-08-15
우만풍림,"경기도 수원시 팔달구 세지로 439-13 (우만동, 풍림아파트)",경기도 수원시 팔달구 우만동 497,37.2873,127.0319,5,031-255-0930,031-257-2997,390,1986-12-20,1988-06-02,2025-08-15
