apt_id,apt_name,lon,lat
파장삼익_126.9928,파장삼익,126.9928,37.3108
문화맨션_127.0161,문화맨션,127.0161,37.2677
신반포_127.0312,신반포,127.0312,37.2739
우만현대_127.038,우만현대,127.038,37.2803
동신1차_126.9935,동신1차,126.9935,37.3044
원천주공_127.0468,원천주공,127.0468,37.2763
동남_126.9803,동남,126.9803,37.283
성일_126.9788,성일,126.9788,37.2806
동신2차_126.9941,동신2차,126.9941,37.3015
우만주공1단지_127.0389,우만주공1단지,127.0389,37.2823
우만풍림_127.0319,우만풍림,127.0319,37.2873
미영_127.0145,미영,127.0145,37.2475
삼성1차_127.0414,삼성1차,127.0414,37.2656
매탄동남_127.0426,매탄동남,127.0426,37.2673
매탄현대_127.0428,매탄현대,127.0428,37.2688
조원벽산_127.0214,조원벽산,127.0214,37.2969
우만주공2단지_127.0418,우만주공2단지,127.0418,37.2775
삼성2차_127.0434,삼성2차,127.0434,37.2701
매탄성일_127.0433,매탄성일,127.0433,37.2651
정자현대_126.9987,정자현대,126.9987,37.2942
동신3차_126.9952,동신3차,126.9952,37.3006
그린맨션_126.9957,그린맨션,126.9957,37.3049
동진맨션_127.0046,동진맨션,127.0046,37.3012
현대_127.0178,현대,127.0178,37.2605
선경_126.978,선경,126.978,37.2791
임광_127.0383,임광,127.0383,37.2584
강남_126.9761,강남,126.9761,37.282
삼환_126.9788,삼환,126.9788,37.2833
화남2차_126.998,화남2차,126.998,37.3091
정자신미주_126.9981,정자신미주,126.9981,37.2952
화서벽산_127.0038,화서벽산,127.0038,37.2834
한효_127.0248,한효,127.0248,37.2542
우만주공3단지_127.034,우만주공3단지,127.034,37.2926
우만주공4단지_127.0298,우만주공4단지,127.0298,37.2918
동남빌라_127.0446,동남빌라,127.0446,37.2718
원천1차삼성_127.0628,원천1차삼성,127.0628,37.265
원천성일_127.0561,원천성일,127.0561,37.2703
화서영광_126.9936,화서영광,126.9936,37.2791
선경1차_127.037,선경1차,127.037,37.2763
권선삼성_127.0231,권선삼성,127.0231,37.2535
한국2차_127.05,한국2차,127.05,37.2682
신현대_127.0267,신현대,127.0267,37.2509
매탄삼성3차_127.0498,매탄삼성3차,127.0498,37.265
금성_127.0552,금성,127.0552,37.2678
한국1차_127.057,한국1차,127.057,37.2696
두산동아_127.0248,두산동아,127.0248,37.2495
삼천리권선1차_127.0246,삼천리권선1차,127.0246,37.2514
신명_127.0216,신명,127.0216,37.2543
신미주_126.9532,신미주,126.9532,37.2681
권선한양_127.0214,권선한양,127.0214,37.2531
성지_127.0223,성지,127.0223,37.2527
신미주_126.953,신미주,126.953,37.2701
삼익1차_126.9564,삼익1차,126.9564,37.2698
한주_127.0127,한주,127.0127,37.2549
선경_127.0402,선경,127.0402,37.2775
거산_126.9528,거산,126.9528,37.2779
벽산.한성_127.0293,벽산.한성,127.0293,37.2503
우만삼성_127.0433,우만삼성,127.0433,37.2764
삼천리권선2차_127.0384,삼천리권선2차,127.0384,37.2539
신호_126.9897,신호,126.9897,37.3024
벽산_127.0331,벽산,127.0331,37.2507
보성.유원_127.0271,보성.유원,127.0271,37.2494
권선현대_127.0377,권선현대,127.0377,37.2534
신우_127.029,신우,127.029,37.2516
성원_127.0157,성원,127.0157,37.2635
신동아_127.0319,신동아,127.0319,37.249
인계삼성_127.0365,인계삼성,127.0365,37.2725
선경3차_127.0358,선경3차,127.0358,37.2756
"풍림,신안_127.0328","풍림,신안",127.0328,37.2543
원천신미주_127.0676,원천신미주,127.0676,37.2668
금곡강남_126.9536,금곡강남,126.9536,37.2792
삼정_126.944,삼정,126.944,37.2895
화서주공4단지_126.992,화서주공4단지,126.992,37.2845
화서주공3단지_126.9931,화서주공3단지,126.9931,37.2859
화서주공5단지_126.992,화서주공5단지,126.992,37.2845
영화동성_127.0119,영화동성,127.0119,37.2913
삼성미도_126.9923,삼성미도,126.9923,37.3026
호매실GS_126.9585,호매실GS,126.9585,37.2683
천천일성_126.9794,천천일성,126.9794,37.3007
청명주공_127.0799,청명주공,127.0799,37.2589
벽적골주공2단지(8단지2)_127.0626,벽적골주공2단지(8단지2),127.0626,37.2509
벽적골주공1단지(8단지1)_127.0622,벽적골주공1단지(8단지1),127.0622,37.2513
천천현대_126.9785,천천현대,126.9785,37.3027
신일_126.9676,신일,126.9676,37.2994
신명.한국_127.0831,신명.한국,127.0831,37.2674
황골마을주공1단지_127.0785,황골마을주공1단지,127.0785,37.2632
오목천태산_126.9621,오목천태산,126.9621,37.2456
삼성태영_127.0646,삼성태영,127.0646,37.2497
벽산.풍림_127.0831,벽산.풍림,127.0831,37.2666
벽산삼익_127.0744,벽산삼익,127.0744,37.2574
연무신미주_127.0315,연무신미주,127.0315,37.3004
신나무실주공5단지_127.0627,신나무실주공5단지,127.0627,37.2516
두산.우성.한신_127.0585,두산.우성.한신,127.0585,37.2484
한진현대_126.9926,한진현대,126.9926,37.2814
신성.신안.쌍용.진흥_127.0664,신성.신안.쌍용.진흥,127.0664,37.2537
고색1차태산_126.9775,고색1차태산,126.9775,37.2505
신안한일_126.9751,신안한일,126.9751,37.3026
